"A" "B" "P" "BT"
"237" 0 0 0 4.45776264856867e-06
"238" 0 0 0 0.000148011753243971
"239" 0 0 0 5.97085270115372e-10
"240" 0.001 0 0.001 0.000230384461641808
"241" 0 0 0 4.44613947436778e-07
"242" 0.023 0.018 0.016 0.0150107228683926
"243" 0 0 0 2.56967620922977e-05
"244" 0.005 0.001 0 0.00111207576922545
"245" 0 0 0 3.25491839259229e-07
"246" 0 0 0 2.61844235989184e-05
"247" 0 0 0 8.02488075990482e-11
"248" 0 0 0 1.29510429565105e-05
"249" 0.002 0.001 0.002 0.000740102571932688
"250" 0.005 0.006 0.002 0.00250345693279841
"251" 0 0 0 0.000203925434865582
"252" 0.001 0.004 0.002 0.00180480780628778
"253" 0.005 0.002 0.004 0.00199845251169728
"254" 0 0 0 7.03024592541013e-07
"255" 0.005 0 0.003 0.000537337661899562
"256" 0.003 0.004 0 0.00100913490629606
"257" 0 0.002 0 0.00040065120463495
"258" 0.001 0 0.001 0.000202550726228989
"259" 0 0.001 0 0.000111194075888332
"260" 0 0 0 1.77257739708558e-07
"261" 0 0 0 3.08671867700339e-05
"262" 0.001 0 0 0.000237710118761725
"263" 0.002 0 0 0.000487941319491481
"264" 0 0 0 0.000107711211183803
"265" 0.008 0.007 0.001 0.00540649385973768
"266" 0 0 0 2.96615143047241e-06
"267" 0 0 0 2.02021564588151e-07
"268" 0.002 0 0.001 0.000134085389385308
"269" 0 0.001 0 4.87881726359829e-05
"270" 0.004 0.004 0.002 0.00208113733770476
"271" 0 0 0 4.26209608258565e-05
"272" 0 0 0.001 0.000252095864684554
"273" 0.001 0.001 0 0.000224811107391032
"274" 0 0 0 4.27158656524096e-06
"275" 0.003 0.001 0.003 0.000734757018739152
"276" 0 0 0.001 8.94289131911918e-05
"277" 0.002 0 0 0.000147259499769348
"278" 0 0 0 0.000102924240878877
"279" 0 0 0.001 2.18837203871391e-05
"280" 0 0.002 0.001 0.000746540382946304
"281" 0.016 0.004 0.011 0.00833633711868753
"282" 0.003 0 0.001 0.00125367016131828
"283" 0 0.001 0.002 0.00155132185963724
"284" 0.009 0.014 0.01 0.00780473396851922
"285" 0.001 0 0 2.7710253679647e-05
"286" 0 0.001 0.001 0.000227391080560801
"287" 0 0 0 3.01894975685002e-09
"288" 0 0.001 0.001 0.000729804471011564
"289" 0.002 0.003 0 0.000808596284504803
"290" 0.002 0.001 0.003 0.000934123814483101
"291" 0 0 0 0.000225040011530009
"292" 0 0 0 3.82255538222687e-07
"293" 0.004 0.002 0 0.000614870201514295
"294" 0 0 0 5.16177894427372e-07
"295" 0 0 0 3.6341076274593e-05
"296" 0 0.001 0 0.000114802234223443
"297" 0.002 0 0 0.000167390855917215
"298" 0 0.003 0 0.000733584189444025
"299" 0.012 0.005 0.006 0.00781703119207111
"300" 0 0 0 5.92601929324532e-05
"301" 0 0 0 2.07285244513411e-06
"302" 0 0 0 0.000106115146489616
"303" 0 0.002 0.001 0.000648140830812771
"304" 0.003 0.009 0.005 0.00494178257042255
"305" 0.004 0.006 0.001 0.00428914142949754
"306" 0 0 0 6.40742503499325e-09
"307" 0 0 0 4.42332490957487e-06
"308" 0.001 0 0 8.90887767623916e-06
"309" 0 0.004 0 0.000492626721192213
"310" 0 0 0 2.18051602961511e-05
"311" 0 0 0 6.28383678950017e-05
"312" 0 0 0 1.93028530592887e-06
"313" 0 0 0 5.94354192254842e-05
"314" 0.005 0.004 0.003 0.00209572142414638
"315" 0.002 0 0 0.000487415062604746
"316" 0.004 0 0 0.00109739957413291
"317" 0 0 0 3.23228428877886e-06
"318" 0.004 0.004 0.001 0.00200125406039908
"319" 0.001 0.002 0 0.00189997044740076
"320" 0.004 0.006 0.003 0.00315077598418989
"321" 0 0 0 1.05909663401516e-05
"322" 0 0 0 3.53750975727873e-05
"323" 0 0 0 3.56328316285515e-05
"324" 0 0 0 1.14042526877522e-06
"325" 0.001 0 0 4.34594808995659e-06
"326" 0 0 0.001 0.00058841120592934
"327" 0 0 0 5.52392067199037e-07
"328" 0 0 0 2.88406832180677e-05
"329" 0.001 0 0 0.000467554421462846
