"A" "B" "P" "BT"
"227" 0.002 0.002 0.002 0.000328878092535234
"228" 0 0 0 7.63232537259739e-06
"229" 0.005 0.005 0.006 0.00262052003649793
"230" 0.003 0.001 0.005 0.00145874061003692
"231" 0.003 0.006 0.007 0.0017460159726097
"232" 0.009 0.006 0.018 0.00477247631214961
"233" 0 0.001 0.002 4.49500352697196e-05
"234" 0.003 0.011 0.018 0.00634118436603759
"235" 0.106 0.105 0.132 0.111162844495732
"236" 0.024 0.034 0.03 0.0258901784251082
"237" 0 0 0 1.11052745555007e-05
"238" 0.001 0 0 6.29030339314163e-05
"239" 0.007 0.014 0.013 0.0135850128903402
"240" 0.145 0.153 0.15 0.165763993887005
"241" 0.003 0.003 0 0.00039848735737158
"242" 0.053 0.062 0.065 0.0600832096712389
"243" 0 0.001 0.001 8.73800874688913e-05
"244" 0.002 0.006 0.006 0.00297043431923238
"245" 0.14 0.134 0.113 0.152095587188896
"246" 0.09 0.084 0.1 0.10292414339743
"247" 0.008 0.013 0.015 0.00740137072672087
"248" 0.014 0.014 0.024 0.00955978440023231
"249" 0.005 0.002 0.007 0.00187424889610921
"250" 0 0 0 8.9794319896308e-06
"251" 0 0 0 0.000208529723474737
"252" 0 0 0.001 2.55001553417511e-06
"253" 0.038 0.042 0.039 0.0419300030777601
"254" 0 0 0 6.69603306135969e-09
"255" 0.005 0 0 0.00012278153707268
"256" 0.104 0.091 0.099 0.104951874284222
"257" 0.015 0.012 0.019 0.0113995230212585
"258" 0.017 0.017 0.023 0.0147460392893212
"259" 0.001 0.005 0.007 0.00199248255830209
"260" 0.469 0.477 0.503 0.496361304517021
"261" 0.037 0.032 0.02 0.0247038275834596
"262" 0.089 0.097 0.091 0.0952164461059095
"263" 0.003 0.001 0.004 0.000675434532783514
"264" 0 0 0 3.90486959434e-08
"265" 0 0 0 4.04264703860457e-05
"266" 0.484 0.469 0.451 0.477532059243048
"267" 0.298 0.311 0.309 0.348007504311671
"268" 0.012 0.019 0.031 0.0156631753379962
"269" 0.17 0.186 0.169 0.203247440726494
"270" 0 0 0 7.85681545378836e-08
"271" 0.027 0.017 0.02 0.0171450774200563
"272" 0.009 0.011 0.012 0.00483777765124116
"273" 0.085 0.072 0.07 0.0809614573975314
"274" 0.009 0.006 0.017 0.00686024270780039
"275" 0.002 0.002 0.004 0.00040449303465806
"276" 0.646 0.648 0.672 0.633925693485009
"277" 0.008 0.004 0.005 0.00154641685328649
"278" 0.002 0.001 0.001 0.000149142268292879
"279" 0.001 0.002 0 0.000119859031390335
"280" 0.035 0.05 0.037 0.0455481665302429
"281" 0 0 0 6.6003335660425e-05
"282" 0.075 0.075 0.077 0.087704960299833
"283" 0 0.001 0.001 0.00011540272715227
"284" 0 0 0.001 3.88280795354801e-05
"285" 0.007 0.006 0.007 0.00468666202776669
"286" 0.001 0.002 0.001 0.000201913588724012
"287" 0.677 0.697 0.7 0.644622456451056
"288" 0.012 0.014 0.015 0.00942055884592419
"289" 0.151 0.159 0.155 0.175277532831736
"290" 0.013 0.008 0.013 0.00691753945659523
"291" 0.093 0.107 0.11 0.112937072794247
"292" 0.605 0.624 0.599 0.596927020873908
"293" 0 0 0 2.0332816151214e-05
"294" 0.001 0.002 0.004 0.00118443315235983
"295" 0 0.001 0.004 0.0001859281904385
"296" 0.006 0.001 0.004 0.00137057600871127
